#solverIterated	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	25	21396157027	73330.758137	
random-2-opt-60-1337	1	209	8801	4356	25	30737070926	81199.735032	
random-2-opt-60-1337	2	246	12082	5978	25	25550806597	86620.294620	
von_koch-random-55-3	0	163	5373	2645	25	21838761095	26353.990358	
von_koch-random-55-3	1	179	6153	3026	25	18819655107	29003.545357	
von_koch-random-55-3	2	213	8481	4170	25	53241458258	33545.987601	
von_koch-random-55-4	0	163	5982	2948	25	16229328551	75652.544762	
von_koch-random-55-4	1	179	6789	3342	25	13437092103	83599.152108	
von_koch-random-55-4	2	213	9115	4480	25	27687567629	89605.467888	
von_koch-random-60-2	0	193	8426	4153	25	57050268498	10217.428467	
von_koch-random-60-2	1	209	9717	4787	25	61473590095	10549.975086	
von_koch-random-60-2	2	246	13518	6665	25	43654341185	11243.646005	
von_koch-random-60-5	0	193	7031	3462	25	30442803910	939054.055313	
von_koch-random-60-5	1	209	8390	4132	25	17867646827	1004365.603334	
von_koch-random-60-5	2	246	11869	5850	25	16841881181	1110017.248987	
random-x-monotone-55-1337	0	158	5948	2950	25	12634602987	73401.689129	
random-x-monotone-55-1337	1	172	6820	3379	25	21541242048	76221.445334	
random-x-monotone-55-1337	2	205	9073	4489	25	28562874021	80649.596522	
von_koch-random-60-4	0	193	7654	3764	25	25795966485	78932.423826	
von_koch-random-60-4	1	209	8986	4418	25	37850318095	80730.193063	
von_koch-random-60-4	2	246	11435	5621	25	70082704753	88106.978642	
von_koch-random-60-3	0	193	6361	3129	25	24838096724	26914.132166	
von_koch-random-60-3	1	209	7494	3685	25	29763263354	29506.484986	
von_koch-random-60-3	2	246	10551	5190	25	37757951793	31425.356434	
von_koch-random-55-5	0	163	5896	2908	25	27001984425	969252.448894	
von_koch-random-55-5	1	179	7008	3453	25	27786073818	1076665.788252	
von_koch-random-55-5	2	213	9808	4831	25	20524373874	1193141.195711	
von_koch-random-55-2	0	163	6496	3209	25	9586739620	9551.954163	
von_koch-random-55-2	1	179	7554	3729	25	18688525576	10325.553418	
von_koch-random-55-2	2	213	10329	5093	25	25940308007	11467.330748	
random-orthogonal-60-1337	0	193	8696	4295	25	37861310065	1160.428888	
random-orthogonal-60-1337	1	209	9636	4756	25	30725293861	1221.275779	
random-orthogonal-60-1337	2	246	13626	6727	25	20509669537	1388.715863	
random-2-opt-55-1337	0	158	5620	2786	25	14705670086	72750.211775	
random-2-opt-55-1337	1	172	6584	3261	25	16978119508	76361.355540	
random-2-opt-55-1337	2	205	9307	4606	25	23147550607	88145.142473	
random-x-monotone-60-1337	0	193	7051	3489	25	9017798723	78693.235128	
random-x-monotone-60-1337	1	209	8379	4145	25	14140476927	83022.240975	
random-x-monotone-60-1337	2	246	12152	6013	25	55553140552	95968.920554	
random-x-monotone-55-42	0	158	5718	2835	25	20233552783	73862.628233	
random-x-monotone-55-42	1	172	6642	3290	25	19147437308	77589.143330	
random-x-monotone-55-42	2	205	9477	4691	25	40856272922	87143.947316	
random-2-opt-60-42	0	193	7935	3931	25	31384335069	77411.544547	
random-2-opt-60-42	1	209	9307	4609	25	41237963620	79520.041031	
random-2-opt-60-42	2	246	12974	6424	25	82818627282	92802.337010	
random-orthogonal-60-42	0	193	6812	3359	25	12891213598	1144.829113	
random-orthogonal-60-42	1	209	7800	3844	25	26824917176	1189.837250	
random-orthogonal-60-42	2	246	10928	5386	25	32273360165	1330.601478	
random-2-opt-55-42	0	158	5918	2935	25	14654876683	71266.420179	
random-2-opt-55-42	1	172	6678	3308	25	20246142811	70244.523094	
random-2-opt-55-42	2	205	9597	4751	25	27669762778	85876.909766	
random-x-monotone-60-42	0	193	8447	4187	25	19377517335	83976.081916	
random-x-monotone-60-42	1	209	10125	5018	25	34004476448	89366.227584	
random-x-monotone-60-42	2	246	13548	6711	25	39775494873	98551.921339	
