vertices,time,solverGreedyLocalGlobal_concat,solverIteratedGlobal_concat,solverIteratedLocal_concat,solverSAGlobal_concat,solverSALocal_concat
3681,0,47940.883036,73330.758137,73330.758137,48266.436778,76085.017886
4356,0,57639.600401,81199.735032,81199.735032,57639.600401,80530.331261
5978,0,79255.574088,86620.29462,86620.29462,79255.574088,88510.288049
2645,0,18231.014382,26353.990358,26353.990358,18244.005289,26550.723499
3026,0,20218.051322,29003.545357,29003.545357,20218.051322,29092.828088
4170,0,17201.262211,33545.987601,33545.987601,17201.262211,33311.453975
2948,0,64237.937696,75652.544762,75652.544762,64237.937696,80186.503749
3342,0,78360.897187,83599.152108,83599.152108,78360.897187,86304.27681
4480,0,77870.850619,89605.467888,89605.467888,77870.850619,89471.134793
4153,0,6370.176968,10217.428467,10217.428467,6370.176968,10217.428467
4787,0,6515.869338,10549.975086,10549.975086,6573.388493,10444.337538
6665,0,9486.309458,11243.646005,11243.646005,9486.309458,11570.181085
3462,0,599358.320725,939054.055313,939054.055313,599358.320725,980138.020675
4132,0,891128.558159,1004365.603334,1004365.603334,891128.558159,1032110.322777
5850,0,1058892.468765,1110017.248987,1110017.248987,1058892.468765,1145728.477728
2950,0,62033.193849,73401.689129,73401.689129,62033.193849,74732.271346
3379,0,60221.467992,76221.445334,76221.445334,60221.467992,77719.749782
4489,0,59308.0137,80649.596522,80649.596522,59308.0137,82694.942391
3764,0,61990.628126,78932.423826,78932.423826,61990.628126,78932.423826
4418,0,61990.628126,80730.193063,80730.193063,63246.484749,79730.348488
5621,0,66587.340367,88106.978642,88106.978642,67213.880788,88677.455139
3129,0,20262.805407,26914.132166,26914.132166,20262.805407,27173.434852
3685,0,20358.74061,29506.484986,29506.484986,20358.74061,29506.484986
5190,0,21356.67101,31425.356434,31425.356434,21356.67101,33273.602174
2908,0,652776.838579,969252.448894,969252.448894,666563.927998,974706.721614
3453,0,787648.032263,1076665.788252,1076665.788252,787648.032263,1075293.128372
4831,0,991218.283817,1193141.195711,1193141.195711,991218.283817,1196208.417625
3209,0,8748.52208,9551.954163,9551.954163,8748.52208,9578.636186
3729,0,9433.101286,10325.553418,10325.553418,9433.101286,10266.430096
5093,0,10560.628748,11467.330748,11467.330748,10560.628748,11384.70461
3681,0,47940.883036,73330.758137,73330.758137,48266.436778,76085.017886
4356,0,57639.600401,81199.735032,81199.735032,57639.600401,80530.331261
5978,0,79255.574088,86620.29462,86620.29462,79255.574088,88510.288049
2645,0,18231.014382,26353.990358,26353.990358,18244.005289,26550.723499
3026,0,20218.051322,29003.545357,29003.545357,20218.051322,29092.828088
4170,0,17201.262211,33545.987601,33545.987601,17201.262211,33311.453975
2948,0,64237.937696,75652.544762,75652.544762,64237.937696,80186.503749
3342,0,78360.897187,83599.152108,83599.152108,78360.897187,86304.27681
4480,0,77870.850619,89605.467888,89605.467888,77870.850619,89471.134793
4153,0,6370.176968,10217.428467,10217.428467,6370.176968,10217.428467
4787,0,6515.869338,10549.975086,10549.975086,6573.388493,10444.337538
6665,0,9486.309458,11243.646005,11243.646005,9486.309458,11570.181085
3462,0,599358.320725,939054.055313,939054.055313,599358.320725,980138.020675
4132,0,891128.558159,1004365.603334,1004365.603334,891128.558159,1032110.322777
5850,0,1058892.468765,1110017.248987,1110017.248987,1058892.468765,1145728.477728
1828,0,46533.973554,65103.215023,65103.215023,46533.973554,66958.211141
2126,0,42146.899548,67965.750697,67965.750697,42146.899548,69672.351509
2983,0,58325.0906,76566.243396,76566.243396,58382.149157,78766.728707
2405,0,22670.929765,27910.692427,27910.692427,22670.929765,27910.692427
2820,0,26137.406737,27921.96615,27921.96615,26137.406737,29092.205378
3664,0,25587.713965,30847.317089,30847.317089,25603.185001,32162.686264
1946,0,13321.089201,20420.018529,20420.018529,13321.089201,20429.841367
2341,0,17350.653079,21279.466711,21279.466711,17350.653079,21314.378281
3015,0,16818.102724,24091.92575,24091.92575,16818.102724,24395.712914
2325,0,67982.371006,106775.9574,106775.9574,67982.371006,107939.559678
2711,0,69639.628552,107098.552412,107098.552412,69639.628552,111458.863816
3494,0,88583.34397,123896.077506,123896.077506,88583.34397,124567.804847
2010,0,18986.248405,21924.960366,21924.960366,19082.0445,21975.649942
2315,0,18366.144134,23154.516519,23154.516519,18366.144134,23447.215212
3127,0,19716.614265,26421.513595,26421.513595,19716.614265,26460.475773
1966,0,45530.684807,56043.836584,56043.836584,45530.684807,55912.3999
2365,0,48698.638463,57884.35672,57884.35672,49274.654428,57884.35672
2970,0,55750.711846,65375.164079,65375.164079,55904.952923,65375.164079
2026,0,17096.045858,19099.227097,19099.227097,17188.484512,19099.227097
2439,0,15529.919043,19981.538316,19981.538316,15529.919043,20038.420627
3126,0,16809.915874,22691.917438,22691.917438,16809.915874,22566.502216
2014,0,76359.840404,94009.46095,94009.46095,76359.840404,94596.151908
2381,0,66178.298177,96265.321391,96265.321391,66178.298177,98729.347641
3153,0,81792.976594,103238.899593,103238.899593,81849.849834,108886.464213
2025,0,18293.648934,22713.188497,22713.188497,18293.648934,22897.5583
2296,0,22385.344486,23381.242536,23381.242536,22385.344486,24328.225718
3165,0,25794.62956,29082.175327,29082.175327,25794.62956,29082.175327
2123,0,20299.103018,25484.380718,25484.380718,20299.103018,26260.093622
2453,0,19639.269646,26382.560541,26382.560541,19860.845192,27555.219729
3324,0,21864.813214,30271.574601,30271.574601,22404.290829,30375.527323
