vertices,IteratedGlobal,IteratedLocal,SAGlobal,SALocal
3681,1.4717186127,1.4717186127,1,1.4766540514
4356,1.3222000975,1.3222000975,1,1.3246491748
5978,1.1073045348,1.1073045348,1,1.121557129
2645,1.3818133654,1.3818133654,1.001777823,1.3850798252
3026,1.3349555289,1.3349555289,1,1.3315530452
4170,1.8084657562,1.8084657562,1,1.8084657562
2948,1.2771227881,1.2771227881,1.0029473525,1.290798329
3342,1.1152793519,1.1152793519,1,1.1361593524
4480,1.1231235891,1.1231235891,1,1.145618353
4153,1.5104858779,1.5104858779,1,1.5024547704
4787,1.5098561567,1.5098561567,1,1.5230277005
6665,1.1959313894,1.1959313894,1,1.1889042878
3462,1.6006350957,1.6006350957,1.0066306046,1.6033955774
4132,1.1381027401,1.1381027401,1,1.1201558974
5850,1.0755365118,1.0755365118,1.0003662512,1.0590138734
2950,1.2401350923,1.2401350923,1.0060168527,1.2515829263
3379,1.2851660488,1.2851660488,1,1.2963089942
4489,1.2899952932,1.2899952932,1,1.3248927612
3764,1.2376510542,1.2376510542,1,1.2475088785
4418,1.2995979534,1.2995979534,1,1.2767934818
5621,1.2920746412,1.2920746412,1,1.3139721681
3129,1.3145070773,1.3145070773,1,1.3421506386
3685,1.4068696874,1.4068696874,1,1.4212533439
5190,1.3836047671,1.3836047671,1.0021232463,1.4167186527
2908,1.3956184414,1.3956184414,1.0062340151,1.4342526323
3453,1.3167248366,1.3167248366,1,1.3118817862
4831,1.1489672067,1.1489672067,1,1.1354387964
3209,1.1076915697,1.1076915697,1,1.1087637108
3729,1.0837360575,1.0837360575,1,1.079940278
5093,1.0940367433,1.0940367433,1,1.0985030629
3681,1.4717186127,1.4717186127,1,1.4766540514
4356,1.3222000975,1.3222000975,1,1.3246491748
5978,1.1073045348,1.1073045348,1,1.121557129
2645,1.3818133654,1.3818133654,1.001777823,1.3850798252
3026,1.3349555289,1.3349555289,1,1.3315530452
4170,1.8084657562,1.8084657562,1,1.8084657562
2948,1.2771227881,1.2771227881,1.0029473525,1.290798329
3342,1.1152793519,1.1152793519,1,1.1361593524
4480,1.1231235891,1.1231235891,1,1.145618353
4153,1.5104858779,1.5104858779,1,1.5024547704
4787,1.5098561567,1.5098561567,1,1.5230277005
6665,1.1959313894,1.1959313894,1,1.1889042878
3462,1.6006350957,1.6006350957,1.0066306046,1.6033955774
4132,1.1381027401,1.1381027401,1,1.1201558974
5850,1.0755365118,1.0755365118,1.0003662512,1.0590138734
1828,1.3822882219,1.3822882219,1,1.3822882219
2126,1.5801684997,1.5801684997,1,1.600404223
2983,1.3592515867,1.3592515867,1,1.3632816465
2405,1.2016222657,1.2016222657,1,1.2016222657
2820,1.1172816422,1.1172816422,1,1.1250665251
3664,1.2657547951,1.2657547951,1,1.2617025227
1946,1.5758537058,1.5758537058,1,1.5758537058
2341,1.176758384,1.176758384,1,1.1873142773
3015,1.4653503374,1.4653503374,1.0082683274,1.4653503374
2325,1.497095674,1.497095674,1,1.5292525245
2711,1.5084736205,1.5084736205,1.0008914307,1.5084736205
3494,1.3645751255,1.3645751255,1,1.3792035862
2010,1.1497585939,1.1497585939,1,1.1483263063
2315,1.2593287445,1.2593287445,1,1.2883156666
3127,1.2331929678,1.2331929678,1,1.223197497
1966,1.1621064575,1.1621064575,1,1.1619067357
2365,1.1766128531,1.1766128531,1,1.1847726644
2970,1.0977244851,1.0977244851,1,1.1029183155
2026,1.0960426448,1.0960426448,1,1.0998964882
2439,1.2289621441,1.2289621441,1.0038550652,1.2691441969
3126,1.2564707871,1.2564707871,1,1.2564707871
2014,1.1567813385,1.1567813385,1,1.1588266206
2381,1.4300277046,1.4300277046,1.0009453605,1.4300277046
3153,1.3039156464,1.3039156464,1.0010033497,1.2989517912
2025,1.2322029198,1.2322029198,1.0017357764,1.2322029198
2296,1.096251594,1.096251594,1,1.1299128559
3165,1.1002481106,1.1002481106,1,1.0987597269
2123,1.2116377902,1.2116377902,1,1.2116377902
2453,1.3924367857,1.3924367857,1,1.3910541611
3324,1.4328327243,1.4328327243,1.00852153,1.4265082219
