vertices,EAIterated,EARandom
2645,1.463658077871182,1.463658077871182
3026,1.4345371319460538,1.441215987036953
4170,1.950205001790377,1.950205001790377
2948,1.2185685811310576,1.2611819543522602
3342,1.070620761459557,1.105366083804484
4480,1.1396451524486972,1.1703624502435204
2950,1.2097844085809517,1.2168256713936199
3379,1.2931895186006679,1.2988776138833251
4489,1.4065464024805132,1.4065464024805132
2908,1.4992999637724667,1.4992999637724667
3453,1.366937698249077,1.371358099202783
4831,1.2202941317114706,1.2202941317114706
3209,1.0918363211126512,1.1125377748375072
3729,1.0946085603177527,1.0973944115668008
5093,1.0858568198575975,1.0858568198575975
