vertices,solverGreedy,solverEAIterated,solverEARandom
2645,0.428088562,921.568149049,670.054477928
3026,0.537231241,924.447077573,823.965404458
4170,0.723948229,941.349673777,655.447023207
2948,0.608692481,924.479333154,670.489412896
3342,0.737055279,925.237174642,873.687057591
4480,1.080435839,932.106709302,916.867528959
2950,0.585041625,926.526461784,835.617937643
3379,0.691283717,924.731207117,915.010849959
4489,1.032607424,936.414362475,966.464280513
2908,0.627785635,923.379165097,700.564385976
3453,0.845000212,926.132941971,950.793699039
4831,1.411263791,939.982699132,933.29051369
3209,0.845380263,931.635530903,920.410524137
3729,1.081240422,931.770602235,943.331643266
5093,1.70626901,912.741964936,944.701544723
