vertices,val,time,ProbShared,ProbShared2
987,41041.891861,41045.636476,41041.891861,41041.891861
1060,42865.919718,42866.058265,42865.919718,42865.919718
881,46079.890491,46081.4519,46079.890491,46079.890491
942,47463.539934,47465.494412,47463.539934,47463.539934
1010,5053.157134,5053.517823,5053.157134,5053.157134
1078,5239.447231,5239.447231,5239.447231,5239.447231
1434,37507.135743,37509.567624,37507.135743,37507.135743
1537,38819.834573,38820.545675,38819.834573,38819.834573
1728,181195.15428,186393.072269,181195.15428,181195.15428
1852,192275.813762,192290.385661,192275.813762,192275.813762
2143,44762.037143,44764.591429,44762.037143,44762.037143
2283,44322.150477,44959.179778,44322.150477,44322.150477
1670,5387.878671,5397.9382,5387.878671,5387.878671
1732,5498.774546,5499.252525,5498.774546,5498.774546
1160,41901.678059,41905.709392,41901.678059,41901.678059
1226,41901.678059,41905.576629,41901.678059,41901.678059
1436,473.734628,473.759703,473.734628,473.734628
1549,489.355127,489.355127,489.355127,489.355127
1716,41186.926037,41190.204738,41186.926037,41186.926037
1819,43724.334034,43727.448034,43724.334034,43724.334034
3107,145760.546141,187142.022131,145760.546141,145760.546141
3401,152474.113086,195189.13897,152474.113086,152474.113086
4513,160282.362728,218917.272398,160282.362728,160282.362728
2876,172818.730339,220896.385912,172818.730339,172818.730339
3297,176098.421672,227520.242294,176098.421672,176098.421672
4355,169764.406855,256256.416402,169764.406855,169764.406855
2698,5701.619483,6588.271899,5701.619483,5701.619483
2981,6164.089972,6901.493314,6164.089972,6164.089972
3957,5661.685796,7428.071294,5661.685796,5661.685796
2796,14384.218743,18026.397513,14384.218743,14384.218743
3173,15708.255816,18826.548261,15708.255816,15708.255816
4252,14623.519112,20717.149462,14623.519112,14623.519112
2406,39479.665372,49473.761353,39479.665372,39479.665372
2686,43485.854069,49269.688204,43485.854069,43485.854069
3627,43557.483577,55998.548563,43557.483577,43557.483577
4604,632.701287,730.757111,632.701287,632.701287
5329,611.325126,790.022222,611.325126,611.325126
7019,573.303979,969.904385,573.303979,573.303979
5316,606.915034,833.966175,606.915034,606.915034
6033,653.454892,868.97826,653.454892,653.454892
7850,542.552433,1015.348846,542.552433,542.552433
3703,43842.622835,50904.428341,43842.622835,43842.622835
4271,44804.013023,51741.877427,44804.013023,44804.013023
5623,54015.097797,56794.862262,54015.097797,54015.097797
4375,16676.752478,21231.665758,16676.752478,16676.752478
5067,18784.40159,22106.605883,18784.40159,18784.40159
6537,19172.175727,24118.588431,19172.175727,19172.175727
3648,13202.11385,15794.4674,13202.11385,13202.11385
4193,14345.754567,16175.08875,14345.754567,14345.754567
5543,15559.539917,16786.841085,15559.539917,15559.539917
4139,72635.296533,82326.895675,72635.296533,72635.296533
4805,79537.06504,86834.159641,79537.06504,79537.06504
6076,77369.991257,93298.351447,77369.991257,77369.991257
3797,13908.428354,17442.789839,13908.428354,13908.428354
4427,16037.217809,18068.683175,16037.217809,16037.217809
5685,17476.447876,18529.398503,17476.447876,17476.447876
3699,38916.380445,41637.17214,38916.380445,38916.380445
4238,43036.944355,43040.990179,43036.944355,43036.944355
5608,46504.404833,46504.404833,46504.404833,46504.404833
3657,12493.65666,14585.578385,12493.65666,12493.65666
4288,13784.003826,15671.955753,13784.003826,13784.003826
5551,14646.431799,16820.92628,14646.431799,14646.431799
3844,64258.905842,71821.894999,64258.905842,64258.905842
4411,68279.281912,75950.936362,68279.281912,68279.281912
5676,67494.665343,80299.343457,67494.665343,67494.665343
3743,17628.46167,19323.140499,17628.46167,17628.46167
4283,18367.658429,19721.872793,18367.658429,18367.658429
5380,16342.194209,20728.761026,16342.194209,16342.194209
4010,15389.182234,20444.083722,15389.182234,15389.182234
4538,17958.865648,20694.073167,17958.865648,17958.865648
5640,19721.273252,21785.378513,19721.273252,19721.273252
1434,37507.135743,37509.567624,37507.135743,37507.135743
1728,181195.15428,189187.47911,181195.15428,181195.15428
2143,44762.037143,44764.591429,44762.037143,44762.037143
1670,5387.878671,5467.339501,5387.878671,5387.878671
1436,473.734628,473.759703,473.734628,473.734628
1716,41186.926037,41190.204738,41186.926037,41186.926037
1505,3572.164219,3730.847556,3572.164219,3572.164219
1661,11593.33141,11593.527299,11593.33141,11593.33141
2345,42888.360148,42892.550929,42888.360148,42888.360148
1743,467.567928,467.605796,467.567928,467.567928
