vertices,ProbShared,ProbShared2
987,5.096154747,61019.829535,61019.829535,5.096154747
1060,3.481341608,64011.182468,64011.182468,3.481341608
881,6.266445696,66702.172301,66702.172301,6.266445696
942,8.558894465,69067.133151,69067.133151,8.558894465
1010,17.95326104,7284.827835,7284.827835,17.95326104
1078,22.185761484,7467.795469,7467.795469,22.185761484
1434,24.538574621,56541.275325,56541.275325,24.538574621
1537,20.787028153,58961.019989,58961.019989,20.787028153
1728,900.054423381,271953.15051,271953.15051,900.054423381
1852,259.366171974,282850.983117,282850.983117,259.366171974
2143,68.654456625,67272.98111,67272.98111,68.654456625
2283,64.114705184,68992.873898,68992.873898,64.114705184
1670,900.053324221,8188.509999,8188.509999,900.053324221
1732,255.866910322,8303.438203,8303.438203,255.866910322
1160,9.436707116,63988.435145,63988.435145,9.436707116
1226,8.577314605,63984.536305,63984.536305,8.577314605
1436,84.127120139,690.618185,690.618185,84.127120139
1549,31.55486075,725.984334,725.984334,31.55486075
1716,240.517608155,62435.422826,62435.422826,240.517608155
1819,48.872077678,65653.049998,65653.049998,48.872077678
3107,621.916822576,254318.616401,254318.616401,621.916822576
3401,881.301171843,262872.738891,262872.738891,881.301171843
4513,900.149931829,302905.955212,302905.955212,900.149931829
2876,900.73997937,315117.379485,315117.379485,900.73997937
3297,900.077136832,326261.017931,326261.017931,900.077136832
4355,900.097617139,354201.415485,354201.415485,900.097617139
2698,900.061462994,9378.499341,9378.499341,900.061462994
2981,371.358687212,9428.284118,9428.284118,371.358687212
3957,900.086379786,10461.967159,10461.967159,900.086379786
2796,900.077312967,25700.053661,25700.053661,900.077312967
3173,900.326712672,26888.876187,26888.876187,900.326712672
4252,900.093351374,29078.639315,29078.639315,900.093351374
2406,900.069364617,69678.614562,69678.614562,900.069364617
2686,900.074808975,72735.280089,72735.280089,900.074808975
3627,900.083135653,78759.752455,78759.752455,900.083135653
4604,900.093542474,1061.906665,1061.906665,900.093542474
5329,900.113176336,1114.642957,1114.642957,900.113176336
7019,900.804685599,1299.840344,1299.840344,900.804685599
5316,900.20732406,1175.270084,1175.270084,900.20732406
6033,900.136005698,1224.740291,1224.740291,900.136005698
7850,900.182986679,1397.034753,1397.034753,900.182986679
3703,900.08076289,72781.963638,72781.963638,900.08076289
4271,900.094781204,75524.722369,75524.722369,900.094781204
5623,439.787219713,83023.698944,83023.698944,439.787219713
4375,900.091622659,29968.133064,29968.133064,900.091622659
5067,900.102432012,31700.060922,31700.060922,900.102432012
6537,890.958295987,33106.860942,33106.860942,890.958295987
3648,900.074591284,22100.518745,22100.518745,900.074591284
4193,900.105129348,23058.827095,23058.827095,900.105129348
5543,900.530874373,24707.956644,24707.956644,900.530874373
4139,900.218158443,116059.983613,116059.983613,900.218158443
4805,900.097310489,122396.216129,122396.216129,900.097310489
6076,900.124851039,131672.367391,131672.367391,900.124851039
3797,900.104581611,25042.976291,25042.976291,900.104581611
4427,900.090768855,25865.102629,25865.102629,900.090768855
5685,900.189088102,27270.711901,27270.711901,900.189088102
3699,174.790402669,58605.359535,58605.359535,174.790402669
4238,116.015568415,62067.579584,62067.579584,116.015568415
5608,118.104748654,67755.864009,67755.864009,118.104748654
3657,900.106580164,21019.791736,21019.791736,900.106580164
4288,900.103120273,22384.957933,22384.957933,900.103120273
5551,900.924667879,23382.444633,23382.444633,900.924667879
3844,900.077137668,100859.032268,100859.032268,900.077137668
4411,860.062471992,103696.328046,103696.328046,860.062471992
5676,900.125867066,115306.321421,115306.321421,900.125867066
3743,900.197926003,27222.960953,27222.960953,900.197926003
4283,900.091187782,28658.641612,28658.641612,900.091187782
5380,213.501326045,29701.666472,29701.666472,213.501326045
4010,900.080491404,29335.387566,29335.387566,900.080491404
4538,900.099726608,29974.607582,29974.607582,900.099726608
5640,900.104740661,31853.501875,31853.501875,900.104740661
1434,25.125206957,56541.275325,56541.275325,25.125206957
1728,900.052819006,271049.202906,271049.202906,900.052819006
2143,76.070256156,67272.98111,67272.98111,76.070256156
1670,900.054587912,8216.079112,8216.079112,900.054587912
1436,89.729511175,690.618185,690.618185,89.729511175
1716,256.756530579,62435.422826,62435.422826,256.756530579
1505,610.635438718,5295.713686,5295.713686,610.635438718
1661,127.654787177,16445.135839,16445.135839,127.654787177
2345,68.245748078,66359.405309,66359.405309,68.245748078
1743,72.094949661,683.491869,683.491869,72.094949661
